source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
putin2018,Егоров Виктор Иванович,,Президент ассоциации заслуженных врачей России. Заслуженный врач Российской Федерации.,,,,,,,,,
putin2018,Егорян Яна Карапетовна,,"Фехтовальщица, двукратная чемпионка России, четырёхкратная чемпионка Европы, чемпионка мира, двукратная чемпионка Олимпийских игр в личном и командном первенстве. Заслуженный мастер спорта России.",,,,,,,,,
putin2018,Емельяненко Федор Владимирович,,"Боец смешанного стиля (ММА), заслуженный мастер спорта по самбо, мастер спорта международного класса по дзюдо.",,,,,,,,,
putin2018,Емельянова Светлана Анатольевна,,"Главный врач ГБУЗ «Волгоградская областная детская клиническая больница». Кандидат медицинских наук, удостоена звания «Отличник здравоохранения».",,,,,,,,,
putin2018,Ермаков Алексей Федорович,,"ООО ""Газпром Межрегионгаз ""Краснодар"", заместитель генерального директора по работе с органами власти и бюджетными организациями.",,,,,,,,,
putin2018,Ефремов Борис Иванович,,"Акционерное общество ""Марийский машиностроительный завод"", генеральный директор.",,,,,,,,,
putin2018,Запашный Аскольд Вальтерович,,Художественный руководитель Большого московского цирка. Народный артист Российской Федерации.,,,,,,,,,
putin2018,Запашный Эдгард Вальтерович,,Директор Большого московского цирка. Народный артист Российской Федерации.,,,,,,,,,
putin2018,Захарова Светлана Юрьевна,,"Балерина. Народная артистка России, лауреат Государственной премии Российской Федерации.",,,,,,,,,
putin2018,Захарченко Виктор Гаврилович,,"Художественный руководитель – генеральный директор ГБНТУК КК «Кубанский казачий хор». Сопредседатель регионального отделения ОНФ, народный артист РСФСР, лауреат Государственной премии РФ.",,,,,,,,,
putin2018,Захматова Анна Андреевна,,"АНО ""Дирекция спортивных и социальных проектов"", руководитель департамента организации программы ""Зритель"".",,,,,,,,,
putin2018,Звягинцева Наталья Алексеевна,,"Белгородская региональная организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов, председатель совета региональной общественной организации.",,,,,,,,,
putin2018,Зимовец Владимир Григорьевич,,"Председатель Совета директоров ЗАО «Трубный завод», ОАО «Профиль-А». Почетный гражданин города Волжского.",,,,,,,,,
putin2018,Зиятдинов Фанил Газисович,,"Генеральный директор АО «Купол», лауреат Национальной премии «Золотая идея».",,,,,,,,,
putin2018,Золотов Юрий Викторович,,"Астраханское региональное отделение всероссийской организации ветеранов (пенсионеров) войны, труда, вооруженных сил, и правоохранительных органов, председатель.",,,,,,,,,
putin2018,Зражевский Геннадий Алексеевич,,"Заместитель генерального директора, советник, Закрытого акционерного общества работников (народное предприятие) агрофирма ""Партизан""",,,,,,,,,
putin2018,Ибрагимов Канта Хамзатович,,"РОО ""Союз писателей Чеченской Республики"", председатель правления.",,,,,,,,,
putin2018,Ибрагимов Тагир Асхатович,,"АНО ""Хоккейный клуб ""Салават Юлаев"", генеральный директор.",,,,,,,,,
putin2018,Иванов Алексей Михайлович,,"АО ""Производственное объединение ""Северное машиностроительное предприятие"", слесарь-монтажник судовой 5 разряда.",,,,,,,,,
putin2018,Иванов Владимир Николаевич,,"ФГБОУ ВО ""Чувашский государственный университет им. И.Я. Яковлева"" (г. Чебоксары), ректор.",,,,,,,,,
putin2018,Иванова Валентина Николаевна,,"ФГБОУ ВО ""Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет), ректор.",,,,,,,,,
putin2018,Игнатенко Наталья Михайловна,,"Благотворительный фонд поддержки музыкального искусства ""Фонд Елены Образцовой"", генеральный директор.",,,,,,,,,
putin2018,Иноземцев Александр Александрович,,Управляющийдиректор-генеральный конструктор АО «ОДК – Авиадвигатель».,,,,,,,,,
putin2018,Исинбаева Елена Гаджиевна,,Олимпийская чемпионка по легкой атлетике.,,,,,,,,,
putin2018,Ищенко Надежда Мавляновна,,"Заместитель главного врача по охране здоровья материнства и детства, Государственное бюджетное учреждение здравоохранения «Чукотская окружная больница», г. Анадырь Чукотский автономный округ.",,,,,,,,,
putin2018,Кабайло Сергей Эдуардович,,Актер Нижегородского академического театра драмы им. М.Горького. Председатель нижегородского отделения Союза театральных деятелей РФ.,,,,,,,,,
putin2018,Кабанов Максим Юрьевич,,Начальник Санкт-Петербургского государственного бюджетного учреждения здравоохранения «Госпиталь для ветеранов войн».,,,,,,,,,
putin2018,Каблов Евгений Николаевич,,"Генеральный директор Всероссийского научно-исследовательского института авиационных материалов, академик РАН, лауреат Государственных премий СССР, РФ, премий Правительства РФ.",,,,,,,,,
putin2018,Кабышев Сергей Владимирович,,"ФГБОУ ВО ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)"", профессор кафедры Конституционного и муниципального права.",,,,,,,,,
putin2018,Кадыров Тимур Рафкатович,,"Государственное бюджетное учреждение ""Дом Дружбы народов Татарстана"", заведующий отделом по работе с детьми и молодежью.",,,,,,,,,
putin2018,Казаков Николай Нилович,,"АУ ""Чувашская государственная филармония"", директор.",,,,,,,,,
putin2018,Казаков Рустем Абдуллаевич,,"ФГБУ"" Тренировочный центр спортивной подготовки сборных команд России ""Крымский"", советник директора.",,,,,,,,,
